Razao Social;Cnpj;Mes;Ano;Barras;Descricao;Fabricante;Grupo;Total custo;Quantidade;Valor bruto;Valor liquido;Valor desconto
MR WK FCIA LTDA ME;15786984000155;2;2013;7891010029098;SHAMP J&J CAB LISOS 200ML;;PERFUMARIA;4,57;1;6,85;6,85;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891010038953;FITA DENT J&J C/50M */;;PERFUMARIA;4,46;1;6,3;6,3;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891037408104;SAB LUX LIQ REFRESQUE-SE250ML;;PERFUMARIA;3,77;2;10,7;10,7;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891037408302;SAB LIQ LUX FRESCURA 250ML;;PERFUMARIA;3,77;1;5,35;5,35;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7893736010053;ENXAK C/12 CPR -CAZI;CAZI;SIMILARES;8,67;2;23,04;23,04;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7895800304228;TRIDENT MENTA;;CONVENIENCIAS;0,77;1;1,25;1,25;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896004704531;MARACUJA CONCENTRIX 100ML -LEG;;SIMILARES;6,14;1;17,35;17,35;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896004705378;ALLEXOFEDRIN 120MG C/10 CPR;EMS;SIMILARES;21,35;2;53,42;53,42;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896004706528;CELERG C/20CPR -LEGRAND;;SIMILARES;9,89;4;61,96;61,96;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896004706559;CELERG XPE 120ML -LEGRAND;LEGRAND;SIMILARES;13,34;2;33,92;33,92;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896004708447;DERMATISAN CR 20G;EMS;SIMILARES;19,83;1;24,8;24,8;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896004712048;ACET TRIANCINOLONA CR 10G EMS;EMS;GENERICOS;6,63;2;17,82;17,82;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896007200375;PRES BLOWTEX C/3 PRAZ PROLONG;;PERFUMARIA;2,18;1;3,96;3,96;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896007540648;ABS INT GEL NORMAL S/AB C/16;;PERFUMARIA;3;1;4,5;4,5;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7898902502066;AGUA MINERAL COPO S/GAS 200ML;;COCA COLA;0,31;149;74,5;74,5;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896094201293;NAPRIX D C/30CPR;LIBBS;ETICOS;28,47;1;38,32;38,32;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896116861306;YASMIN 21 COMPR;SCHERING;ETICOS;40,78;4;219,56;189,37;30,19
MR WK FCIA LTDA ME;15786984000155;2;2013;7896132103671;POLIDOR DE UNHAS MARCHETTI;;PERFUMARIA;1,6;2;4,8;4,8;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896229974283;VITAMINA A CAPILAR 10ML SKAFE;;PERFUMARIA;0,96;2;2,98;2,98;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896331800104;RESFENOL C/20 CPS -HERTZ;;SIMILARES;23,07;3;87,78;87,78;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896331800340;SONOTABS C/20 - GALEN;;SIMILARES;10,4;1;29,95;29,95;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896472502622;DORSANOL 500MG C/20CPR;MULTILAB;SIMILARES;5,75;2;18,18;18,18;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896522021721;CAPICILIN TRATA. CAPILAR ANTIC;;PERFUMARIA;1,97;1;2,79;2,79;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896523206288;CIFLOGEX SPRAY 30ML MENTA -CIM;;SIMILARES;14,08;1;18,67;14,94;3,73
MR WK FCIA LTDA ME;15786984000155;2;2013;7896523206295;CIMEGRIPE GTS 20ML -CIMED;;SIMILARES;9,28;2;24,02;24,02;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896523206677;CALAMED AEROSOL 200ML -CIMED;;SIMILARES;16,69;25;623,25;609,54;13,71
MR WK FCIA LTDA ME;15786984000155;2;2013;7898024830016;INSETICIDA SBP 300ML;;PERFUMARIA;4,89;2;15;15;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7898079000310;PRES PRUDENCE HORTELA;;PERFUMARIA;1,25;4;10;10;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7898079000303;PRES PRUDENCE MORANGO C/3;;PERFUMARIA;1,25;9;23,97;23,97;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7898079000327;PRES PRUDENCE C/3 UVA *;;PERFUMARIA;1,25;1;2,99;2,99;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7898104950207;BUKRU PEPSIMA 100ML;;ETICOS;7,67;1;9,62;9,62;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896015511159;SAL DE FRUTAS ENO 2 ENV 5G;;ETICOS;0,95;150;178,5;178,5;0
MR WK FCIA LTDA ME;15786984000155;2;2013;78905108;MINANCORA POM 30G;;ETICOS;5,08;5;33,7;33,7;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896641800764;EPAREMA FLACONETE 10ML;;ETICOS;1,62;12;24,48;24,48;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896862940058;DIPIMED 500 20 ML GOTAS;MEDQUIMICA;SIMILARES;4,3;9;49,68;48,85;0,83
MR WK FCIA LTDA ME;15786984000155;2;2013;7896523216447;CIFLOGEX PAST C/12 MENTA-LIMAO;;SIMILARES;7,03;5;45,5;45,5;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896112143246;DIMEZIN 40MG C/2O;;LIBERADOS;8,21;6;65,52;65,52;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896016003783;GRAMPO TEIMOSAO PRETO C/50;;PERFUMARIA;2,59;1;3,89;3,89;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896181909651;DIPIRONA SODICA GTS;BIOSINTETICA;GENERICOS;5,02;12;75,12;74,18;0,94
MR WK FCIA LTDA ME;15786984000155;2;2013;7896523206929;KURAMED 50 ML;CIMED;SIMILARES;3,53;12;185,16;181,3;3,86
MR WK FCIA LTDA ME;15786984000155;2;2013;7501009222729;PRESTOBARBA ULTRA GRIP C/2;;PERFUMARIA;4,21;46;271,4;271,4;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7899026415157;ELSEVE CR P/ PENTEAR;;PERFUMARIA;5,53;2;15,7;15,7;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891024134306;COLGATE SENSITIVE;;PERFUMARIA;7,06;1;9,9;9,9;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7897230300177;ALIVIOSOL LOCAO 130 ML;;PROT SOLAR ANASOL;8,9;5;71,2;71,2;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7501001156176;ABS ALWAYS BASICO SUAVE/ AB;;HIGIENE PESSOAL;1,79;17;42,5;42,5;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891010505141;BRONZ SUNDOWN OLEO GOLD FPS 4;;PROT SOLAR SUNDOWN;13,72;4;79,6;79,6;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896004705385;ALLEXOFEDRIN 180MG C/10 CPR;EMS;SIMILARES;29,99;1;37,51;37,51;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7897554400102;GUARANA CAXINAUA 500MG C/60;;LIBERADOS;9,94;2;49,7;49,7;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896523206660;SINVASTAMED 20MG C/30 CPR;CIMED;SIMILARES;17,78;1;21,04;21,04;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896181900658;ANLODIPINO 5MG C/30 BIOSINTETI;BIOSINTETICA;GENERICOS;23,1;1;30,04;21,03;9,01
MR WK FCIA LTDA ME;15786984000155;2;2013;7896181904922;CLOR METFORMINA 500MG C30;BIOSINTETICA;GENERICOS;5,96;1;7,75;6,59;1,16
MR WK FCIA LTDA ME;15786984000155;2;2013;7896181901402;METFORMINA 850MG C/30 BIOSINTE;BIOSINTETICA;GENERICOS;8,05;3;31,41;31,41;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896004719139;DERMOSTATIN CR 60 GR;;SIMILARES;19,59;9;220,5;214,38;6,12
MR WK FCIA LTDA ME;15786984000155;2;2013;7891010043476;ESC. DEN. REACH ULTRA;;PERFUMARIA;2,41;3;10,2;10,2;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7898422745578;SH SEDA QUEDA CONTROL 350ML;;PERFUMARIA;5,67;2;10,72;10,72;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7898040321253;DOLAMIN FLEX C/15 CPR;FARMOQUIMICA;ETICOS;25,73;1;32,2;32,2;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891800231083;FITA HIPO. MICROP CREMER 5X4,5;;PERFUMARIA;3,82;1;7,64;7,64;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896004705408;ALLEXOFEDRIN D C/10 CPR;EMS;SIMILARES;24,83;1;32,16;32,16;0
MR WK FCIA LTDA ME;15786984000155;2;2013;23319;BOLACHAS VARIAS;;OUTROS;0,81;4;4,6;4,6;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891075081215;SORVETE MINI ESKIBOM;;SORVETES;4,82;38;228;228;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896016003837;GRAMPOS P/ CABELO N 7 LOIRO;;PERFUMARIA;2,75;1;3,89;3,89;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7895800308721;HALLS MELANCIA;;CONVENIENCIAS;0,5;15;15;15;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7895800304679;HALLS MORANGO;;CONVENIENCIAS;0,5;17;17;17;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7895800308738;TRIDENT HERBAL FRESH;;CONVENIENCIAS;1;15;19,75;19,75;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7895800304211;TRIDENT HORTELA;;CONVENIENCIAS;1;12;16;16;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7895800430002;TRIDENT TUTTI FRUTTI;;CONVENIENCIAS;1;6;9;9;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7895800201503;TRIDENT MORANGO;;CONVENIENCIAS;1;6;8,75;8,75;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7895800300145;HALLS CEREJA;;CONVENIENCIAS;0,5;10;10;10;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7895800303313;HALLS EXTRA FORTE;;CONVENIENCIAS;0,5;7;7;7;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7897169204010;LIXA E.V.A. POLIDOR;;PERFUMARIA;1,07;3;4,77;4,77;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896714230160;LIDOGEL GELEIA 2% 30GR;NEO QUIMICA;SIMILARES;9,15;5;57,25;57,25;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891800197525;COMPRESSA GAZE C/5 CREMER;;PERFUMARIA;0,51;9;8,91;8,91;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7899026415140;CR PENT ELSEVE COLORVIVE 250ML;;PERFUMARIA;5,53;2;15,7;15,7;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7899026415188;CR PENT ELSEVE NUTRILEUM 250ML;;PERFUMARIA;5,53;1;7,85;7,85;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7898315340255;LIXA PE JULEON SOFT;;PERFUMARIA;2,53;3;11,4;11,4;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7898315340378;ESP BANHO VEGETAL ATOALHADA;;PERFUMARIA;2,3;4;14,36;14,36;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7898315340187;ESPATULA CUTICULA ACO INOX;;PERFUMARIA;2,2;3;9,21;9,21;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7898315340453;PENTE  JULEON BIG;;PERFUMARIA;1,44;4;9,16;9,16;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7898315340446;PENTE JULEON AFRO CABELO;;PERFUMARIA;1,49;2;4,8;4,8;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7894900060010;SPRITE 350 ML;;CONVENIENCIAS;1,35;5;12,5;12,5;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891098000620;CHA MATTE LEAO 300 ML;;CONVENIENCIAS;1;6;12;12;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7894900130010;COCA COLA LIGHT 350 ML;;CONVENIENCIAS;1,15;2;4;4;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896472502745;KELTRINA PLUS 60 ML;;SIMILARES;16,03;1;21,31;21,31;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7892953001387;PYRIDIUM 200MG C/18 COMP;;ETICOS;9,43;2;24,48;24,48;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7892953001370;PYRIDIUM 100MG C/25 COMP;;ETICOS;7,59;3;29,52;28,63;0,89
MR WK FCIA LTDA ME;15786984000155;2;2013;7896241296523;VONAU FLASH 4MG C/10 CPR;;ETICOS;18,16;3;73,32;70,88;2,44
MR WK FCIA LTDA ME;15786984000155;2;2013;7891142115386;ALIVIUM 600MG C/10 CPR;MANTECORP;ETICOS;15,98;1;20;20;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896637023771;LABIRIN 24MG C/30 COMP;;ETICOS;24,96;2;64,52;60,65;3,87
MR WK FCIA LTDA ME;15786984000155;2;2013;7896522021783;TONICO CAPICILIN B4 20ML;;PERFUMARIA;1,97;1;2,79;2,79;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891075302051;SORVETE CORNETE CROCMIX;;CONVENIENCIAS;3,33;24;108;108;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7894900031515;FANTA LARANJA 2 LTS;;COCA COLA;2,67;16;64;64;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891000011041;CHOC BARRA GALAK 170 GR;;CONVENIENCIAS;3,33;9;40,41;40,41;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896138700072;SOL FISIOLOGICA 500ML ARBORETO;;VAREJINHO;1,62;7;22,75;22,75;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891075131019;SORVETE POTE 2LTS NAPOLITANO;;SORVETES;13,6;6;101,94;101,94;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7894900911510;GUARANA KUAT 2LTS;;CONVENIENCIAS;2,67;9;36;36;0
MR WK FCIA LTDA ME;15786984000155;2;2013;4005808837311;DES NIVEA AER PEARL BEATY 92GR;;PERFUMARIA;7,18;1;10,2;10,2;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891000018750;BISC BONO CHOCOLATE 165G;NESTLE;CONVENIENCIAS;1,33;9;18;18;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891000034682;BISC BONO DOCE DE LEITE 165G;;NESTLE;1,33;11;22;22;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891000034262;BISC NEGRESCO 160G;NESTLE;CONVENIENCIAS;1,33;8;13,52;13,52;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891000051351;BISC PASSATEMPO RECHEADO CHOCO;NESTLE;CONVENIENCIAS;1,33;25;50;50;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7898907309134;REP DE PONTAS BIOFIO 35ML CERA;;PERFUMARIA;3,7;2;10,48;10,48;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7898907309097;REP DE PONTAS BIOFIO 35ML QUER;;PERFUMARIA;3,7;2;10,48;10,48;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7898907309110;RAP DE PONTAS BIOFIO 35ML SEMI;;PERFUMARIA;3,7;2;10,48;10,48;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891035910944;DEPIL VEET OLEO DE AMEND 90ML;;PERFUMARIA;11,59;1;16,46;16,46;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891168100076;BISC TOSTINES AGUA E SAL 200G;;OUTROS;1,4;1;1,9;1,9;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891000038987;CHOC NESTLE CLASSIC DUO 170G;;CONVENIENCIAS;3,33;12;53,88;53,88;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891000379103;NESCAU PRONTO 200ML;;COCA COLA;1,2;12;18;18;0
MR WK FCIA LTDA ME;15786984000155;2;2013;24543;GASTROMAX C/10;CIFARMA;SIMILARES;0,48;3;10,5;10,5;0
MR WK FCIA LTDA ME;15786984000155;2;2013;24548;SPIDUFEN 600 COM 2 ENVELOP;;ETICOS;3,55;14;33,04;33,04;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7898422746162;SH CLEAR NUTRI SOLUTION 200ML;;PERFUMARIA;7,22;1;10,3;10,3;0
MR WK FCIA LTDA ME;15786984000155;2;2013;0;SPIDUFEN 400MG ENV 3GR;;ETICOS;1,08;18;27,54;27,54;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7895800309780;TRIDENT MELANCIA;;CONVENIENCIAS;1;16;20,75;20,75;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896009116223;SH AROMA DO CMP JABORANDI 300M;;PERFUMARIA;2,95;4;15,96;15,96;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896181913306;BROMOPRIDA 4MG/ML C/20ML;BIOSINTETICA;GENERICOS;8,85;3;33,21;30,77;2,44
MR WK FCIA LTDA ME;15786984000155;2;2013;7896902204508;AGUA OXIGENADA C/ GLICERINA 40;;PERFUMARIA;0,77;12;13,92;13,92;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896902201590;AGUA OXIGENADA VOL10 100ML;FARMAX;OUTROS;0,71;15;18;18;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896902204423;AGUA OXIGENADA VOL 30 90ML;FARMAX;OUTROS;0,61;4;5;5;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896181909460;CLOR AMBROXOL PEDIATRICO 120ML;BIOSINTETICA;GENERICOS;6,88;2;17,24;17,24;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896658008023;DIGEPLUS 30 CAPSULAS GEL;;ETICOS;22,16;1;28,69;28,69;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896181908906;CARVEDILOL 12,5 MG 15CPR BIOS;BIOSINTETICA;GENERICOS;15,62;1;20,31;16,25;4,06
MR WK FCIA LTDA ME;15786984000155;2;2013;7896181911722;TOBRAMICINA+DEXAM 0,3 BIOS;BIOSINTETICA;GENERICOS;11,44;1;15,38;15,38;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896472502776;BUPROVIL 600MG C/30 CPR;MULTILAB;SIMILARES;7,03;8;179,12;165,69;13,43
MR WK FCIA LTDA ME;15786984000155;2;2013;7896714218700;NAPRONAX 550 MG C/10 CPR N.Q;NEO QUIMICA;SIMILARES;13,18;1;16,49;16,49;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896018700376;SAB INF T MONICA C/ CR HIDRAT;;HIGIENE PESSOAL;1,45;1;2,45;2,45;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896018700369;SAB INF T MONICA SUAVE 75G;;PERFUMARIA;1,46;1;2,45;2,45;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896018700307;SH INF T MONICA SUAVE 200ML;;PERFUMARIA;4,11;1;6,37;6,37;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896018700314;COND T MONICA SUAVE 200ML;;HIGIENE PESSOAL;4,5;1;6,3;6,3;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891350031591;GEL FIX BOZZANO ESTILOS SURF;BOZZANO;PERFUMARIA;3,44;2;9,98;9,98;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896007200382;PRESERV BLOWTEX EXTRA FINO C/3;;PERFUMARIA;2,18;5;19,8;19,8;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891010043469;ESC DENT J&J ULTRA CLEAN MACIA;;PERFUMARIA;2,41;3;10,2;10,2;0
MR WK FCIA LTDA ME;15786984000155;2;2013;70330717510;AP BARB BIC COMFORT C/2 NORMAL;;PERFUMARIA;4,5;34;217,26;217,26;0
MR WK FCIA LTDA ME;15786984000155;2;2013;70330717527;AP BARB BIC COMFORT C/2 SENS;;PERFUMARIA;4,5;29;185,31;185,31;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891463000408;SERINGA BD PLASTIPAK 20CC;BD;MATERIAIS DE CURATIVOS;0,8;3;12;12;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896902206984;PEDRA HUME ALUMEN 20 GR FARMAX;FARMAX;SIMILARES;0,87;3;3,69;3,69;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7622300732981;CHOC DIAMANTE NEGRO 25GR;;CONVENIENCIAS;1,5;9;18,27;18,27;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896019355216;CHOC SHOT 25 GR   -LACTA;;CONVENIENCIAS;0,71;17;17;17;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896015518639;DILATADOR NASAL RESPIRE MELHOR;;PERFUMARIA;14,86;2;42,5;42,5;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896181911517;ACIDO MEFENAMICO 500MG C/24 CP;BIOSINTETICA;GENERICOS;9,43;2;24,56;24,56;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896015518622;DILATADOR NASAL RESP MELHOR NO;;PERFUMARIA;14,86;1;21,25;21,25;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7794728001588;DEPIMEL LENCO DESC P/DEPILC/10;;PERFUMARIA;1,59;1;2,39;2,39;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891000029169;CHOC BARRA NESTLE SUFLAIR 130G;;NESTLE;3,16;5;22,45;22,45;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891000011003;CHOC BARRA NESTLE MEIO AMARGO;;NESTLE;3,16;6;26,94;26,94;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891000467404;CHOC ESPECIALIDADES NESTLE 400;;NESTLE;5,69;3;24,75;24,75;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891000919705;BISC LEITE E MEL 200G NESTLE;;NESTLE;1,33;2;5,8;5,8;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891075081093;MINI CHICABON 135ML;;SORVETES;4,82;32;192;192;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7897230301259;BRONZ  ANASOL FPS70 125ML;;PROT SOLAR ANASOL;27,44;7;246,12;246,12;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7897230300153;BRONZ ANASOL FPS30 125ML;;PROT SOLAR ANASOL;13,5;9;180;180;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7897230301273;BRONZ ANASOL GEL FPS30 110G;;PROT SOLAR ANASOL;14,25;10;228;228;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7897230300160;BRONZ ANASOL FPS50 125ML;;PROT SOLAR ANASOL;20,63;1;28,49;28,49;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7897230301334;BRONZ ANASOL FPS30 200ML;;PROT SOLAR ANASOL;26,58;1;29,55;29,55;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7897230301341;BRONZ ANASOL FPS50 200ML;;PROT SOLAR ANASOL;23,44;4;150;150;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7897230301266;BRONZ ANASOL KIDS FPS50 125ML;;PROT SOLAR ANASOL;25,38;5;179,5;179,5;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7897230301242;BRONZ FACIAL ANASOL FPS70 60G;;PROT SOLAR ANASOL;18,5;2;55,5;55,5;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7897230301198;BRONZ FACIAL ANASOL FPS34 60G;;PROT SOLAR ANASOL;13;1;19,5;19,5;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7897230300344;GEL POS SOL ANASOL 145G;;PROT SOLAR ANASOL;8,9;12;157,8;157,8;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7897230301310;BRONZ ANASOL FPS30 SPRAY 125ML;;PROT SOLAR ANASOL;15,58;3;74,79;74,79;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896004720838;REPOFLOR 200 MG FR C/ 6 CPS;LEGRAND;SIMILARES;18,94;9;220,86;215,95;4,91
MR WK FCIA LTDA ME;15786984000155;2;2013;7898341430258;SUCO MAIS SABOR PESSEGO 335ML;;CONVENIENCIAS;1,97;2;6;6;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7509546006772;ESC DENT COLGATE EXTRA CLEAN M;;PERFUMARIA;3,1;3;13,02;13,02;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891010793463;ABS SEMPRE LIVRE ESP C/AB C/16;;PERFUMARIA;2,88;4;17,2;17,2;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896116860958;YAZ C/24CPR;SCHERING;ETICOS;40,78;2;109,78;93,31;16,47
MR WK FCIA LTDA ME;15786984000155;2;2013;7891000049242;PAPINHA NEST GALINHA/LEG 170G;;CONVENIENCIAS;3,65;12;59,28;59,28;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896018700659;LC UMED HUGGIES CLASSIC C/48;;PERFUMARIA;5,79;10;79,9;79,9;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7897517925406;ESC DENT CLIA JUNIOR REF.2540;;PERFUMARIA;1,17;1;1,76;1,76;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7897517925802;ESC DENT CLIA JUNIOR REF2580;;PERFUMARIA;1,16;4;7,4;7,4;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891075043251;SORVETE CHICABONZINHO 32ML;;SORVETES;0,74;63;63;63;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7898341430272;SUCO MAIS SABOR GOIABA 335ML;;COCA COLA;2,14;4;12,04;12,04;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896202500454;ESTOMANOL 5G;;SIMILARES;1,03;14;21;21;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891142115492;ALIVIUM 100MG/ML 20ML;MANTECORP;ETICOS;15,13;9;170,19;170,19;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7501001276850;HIPOGLOS 135G;;ETICOS;15,6;4;75,48;75,48;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891010690397;SAB J&J OLEOSW ESSENCIAIS HERB;;PERFUMARIA;0,85;18;14,22;14,22;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891010690373;SAB J&J ROSA E JASMIN 90G;;PERFUMARIA;0,88;14;18,48;18,48;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891010691448;SAB J&J OLEO DE AMENDOAS 90G;;HIGIENE PESSOAL;0,8;12;15,84;15,84;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891010690380;SAB J&J LAVANDA E ALECRIM 90G;;PERFUMARIA;0,85;17;13,43;13,43;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896007541867;ABS INTIMUS INTERNO MEDIO;;PERFUMARIA;3,33;25;125;125;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7898422746759;SAB DOVE CREMOSO 90G;;HIGIENE PESSOAL;1,39;19;37,43;37,43;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7896007200405;PRES BLOWTEX HOT C/ 3 UN;;PERFUMARIA;2,18;2;7,92;7,92;0
MR WK FCIA LTDA ME;15786984000155;2;2013;7891168100083;BISC CREAM CRACKER 200 GR;;NESTLE;1,21;2;3,3;3,3;0
